 num     #instances         #bytes  class name
 107:         88026        1408416  java.util.LinkedHashMap$LinkedEntrySet
 108:         42800        1369600  java.nio.file.FileTreeWalker$Event
 109:         33545        1341800  javax.management.ObjectName
 110:         33397        1335880  java.security.AccessControlContext
 111:         33219        1328760  java.util.HashMap$KeyIterator
 112:         33183        1327320  sun.rmi.server.LoaderHandler$LoaderEntry
 113:           849        1317312  [Ljava.util.concurrent.ConcurrentHashMap$Node;
 114:         32423        1296920  org.apache.cassandra.utils.concurrent.Ref$State
 115:         47122        1130928  org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir$EstimatedHistogramReservoirSnapshot
 116:         45469        1091256  java.io.ExpiringCache$Entry
 117:         33801        1081632  java.lang.ref.ReferenceQueue
 118:         33457        1070624  org.apache.cassandra.db.LivenessInfo$ExpiringLivenessInfo
 119:         33221        1063072  java.security.BasicPermissionCollection
 120:         33206        1062592  java.util.PropertyPermission
 121:         33195        1062240  java.util.Stack
 122:          9360        1041384  java.lang.Class
 123:         41826        1003824  java.util.ArrayDeque
 124:         39568         949632  sun.nio.fs.UnixFileAttributeViews$Basic
 125:         29479         943328  org.apache.cassandra.cache.ChunkCache$Key
 126:         39105         938520  [Lorg.apache.cassandra.io.sstable.format.SSTableFormat$Type;
 127:         38936         934464  javax.management.ObjectInstance
 128:          1055         928240  [Lio.netty.util.Recycler$DefaultHandle;
 129:         22989         919560  com.github.benmanes.caffeine.cache.NodeFactory$SStMW
 130:         27344         875008  java.util.AbstractList$ListItr
 131:         15433         864248  javax.management.MBeanServerNotification
 132:          8288         859400  [S
 133:         34507         828168  sun.rmi.server.LoaderHandler$LoaderKey
 134:          1248         818688  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
 135:         33815         811560  org.apache.cassandra.dht.Token$KeyBound
 136:         33307         799584  [Ljava.security.ProtectionDomain;
 137:         33279         798696  java.lang.RuntimePermission
 138:         49907         798512  java.util.concurrent.atomic.AtomicInteger
 139:         49829         797264  java.io.FilePermission$1
 140:         33184         796416  java.util.PropertyPermissionCollection
 141:         32423         778152  org.apache.cassandra.utils.concurrent.Ref
 142:         19197         737240  [Ljavax.management.MBeanAttributeInfo;
 143:         22989         735648  org.apache.cassandra.cache.ChunkCache$Buffer
 144:         30354         728496  com.sun.jmx.remote.internal.ArrayNotificationBuffer$NamedNotification
 145:         14921         716208  javax.management.Notification
 146:         29645         711480  org.apache.cassandra.db.MutableDeletionInfo
 147:         41940         671040  java.util.HashMap$Values
 148:         27344         656256  java.util.SubList$1
 149:         26741         641784  java.util.concurrent.Executors$RunnableAdapter
 150:         40068         641088  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes
 151:         19698         630336  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 152:         19185         613920  sun.misc.FDBigInteger
 153:         19009         608288  com.codahale.metrics.WeightedSnapshot$WeightedSample
 154:         25339         608136  java.util.EnumMap$EntryIterator$Entry
 155:         18756         600192  io.prometheus.jmx.shaded.io.prometheus.client.Collector$MetricFamilySamples$Sample
 156:          4100         557600  com.googlecode.concurrentlinkedhashmap.ConcurrentLinkedHashMap$PaddedAtomicReference
 157:         33803         540848  java.lang.ref.ReferenceQueue$Lock
 158:         21512         516288  org.apache.cassandra.db.ClusteringBound
 159:         21391         513384  org.apache.cassandra.dht.Range
 160:         21093         506232  java.util.concurrent.ConcurrentLinkedDeque
 161:         21093         506232  org.apache.cassandra.utils.concurrent.Ref$GlobalState
 162:         12132         485280  org.apache.cassandra.db.lifecycle.View
 163:         14996         479872  org.apache.cassandra.cql3.ColumnIdentifier
 164:         19685         472440  org.apache.cassandra.cache.KeyCacheKey
 165:         19532         468768  [Lorg.apache.cassandra.dht.Range;
 166:         18942         454608  javax.management.openmbean.TabularDataSupport
 167:         11222         448880  org.apache.cassandra.db.rows.UnfilteredSerializer$$Lambda$120/1120957990
 168:         27755         444080  java.lang.Object
 169:         10945         437800  org.apache.cassandra.db.rows.BTreeRow$Builder
 170:          6030         385920  org.apache.cassandra.utils.btree.NodeBuilder
 171:         15990         383760  org.apache.cassandra.utils.Interval
 172:          4350         382800  java.lang.reflect.Method
 173:         23160         370560  java.util.HashMap$KeySet
 174:         11249         359968  java.util.concurrent.ConcurrentSkipListMap$HeadIndex
 175:         22456         359296  org.apache.cassandra.db.ColumnFamilyStore$1
 176:         14749         353976  java.util.regex.Pattern$Start
 177:         14712         353088  java.util.regex.Pattern$TreeInfo
 178:          8739         349560  java.util.HashMap$ValueIterator
 179:          7168         344064  org.apache.cassandra.db.SimpleBuilders$RowBuilder
 180:          8198         327920  org.apache.cassandra.locator.TokenMetadata$2
 181:         13637         327288  java.util.concurrent.atomic.AtomicLong
 182:           843         323712  io.netty.util.concurrent.FastThreadLocalThread
 183:          8074         322960  org.apache.cassandra.db.rows.BTreeRow$$Lambda$117/175118672
 184:         19740         315840  java.util.LinkedHashMap$LinkedValues
 185:          6561         314928  org.apache.cassandra.utils.IntervalTree$IntervalNode
 186:         12541         300984  com.googlecode.concurrentlinkedhashmap.ConcurrentLinkedHashMap$WeightedValue
 187:          9138         292416  com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8$Node
 188:         12010         288240  org.apache.cassandra.service.StorageProxy$RangeForQuery
 189:          2714         282256  java.io.ObjectStreamClass
 190:          2410         269920  java.net.SocksSocketImpl
 191:          8149         260768  com.googlecode.concurrentlinkedhashmap.ConcurrentLinkedHashMap$Node
 192:         16148         258368  org.apache.cassandra.db.Columns$$Lambda$116/1460451903
 193:          8050         257600  java.io.FileDescriptor
